Periode,Antal,Recidivhændelser,Uddannelse,Køn,Alder
0,51,2,3,1,3
0,44,2,3,1,4
0,68,2,3,1,5
0,25,2,3,1,6
0,5,2,3,1,7
0,2,2,3,0,0
0,5,2,3,0,1
0,3,2,3,0,2
0,2,2,3,0,3
0,3,2,3,0,4
0,4,2,3,0,5
0,1,2,3,0,6
0,0,2,3,0,7
0,439,3,1,1,0
0,407,3,1,1,1
0,248,3,1,1,2
0,204,3,1,1,3
0,162,3,1,1,4
0,199,3,1,1,5
0,61,3,1,1,6
0,25,3,1,1,7
0,34,3,1,0,0
0,26,3,1,0,1
0,18,3,1,0,2
0,25,3,1,0,3
0,21,3,1,0,4
0,36,3,1,0,5
0,9,3,1,0,6
0,8,3,1,0,7
0,37,3,2,1,0
0,29,3,2,1,1
0,15,3,2,1,2
0,11,3,2,1,3
0,11,3,2,1,4
0,18,3,2,1,5
0,2,3,2,1,6
0,1,3,2,1,7
0,2,3,2,0,0
0,5,3,2,0,1
0,0,3,2,0,2
0,1,3,2,0,3
0,1,3,2,0,4
0,3,3,2,0,5
0,0,3,2,0,6
0,0,3,2,0,7
0,176,3,0,1,0
0,212,3,0,1,1
0,132,3,0,1,2
0,117,3,0,1,3
0,101,3,0,1,4
0,155,3,0,1,5
0,51,3,0,1,6
0,20,3,0,1,7
0,3,3,0,0,0
0,7,3,0,0,1
0,4,3,0,0,2
0,6,3,0,0,3
0,10,3,0,0,4
0,8,3,0,0,5
0,9,3,0,0,6
0,2,3,0,0,7
0,0,3,4,1,0
0,12,3,4,1,1
0,12,3,4,1,2
0,13,3,4,1,3
0,16,3,4,1,4
0,44,3,4,1,5
0,17,3,4,1,6
0,9,3,4,1,7
0,0,3,4,0,0
0,2,3,4,0,1
0,3,3,4,0,2
0,2,3,4,0,3
0,4,3,4,0,4
0,8,3,4,0,5
0,4,3,4,0,6
0,4,3,4,0,7
0,19,3,3,1,0
0,43,3,3,1,1
0,25,3,3,1,2
0,23,3,3,1,3
0,29,3,3,1,4
0,28,3,3,1,5
0,14,3,3,1,6
0,4,3,3,1,7
0,1,3,3,0,0
0,2,3,3,0,1
0,1,3,3,0,2
0,1,3,3,0,3
0,2,3,3,0,4
0,6,3,3,0,5
0,1,3,3,0,6
0,0,3,3,0,7
0,1024,4,1,1,0
0,938,4,1,1,1
0,531,4,1,1,2
0,424,4,1,1,3
0,274,4,1,1,4
0,334,4,1,1,5
0,76,4,1,1,6
0,26,4,1,1,7
0,50,4,1,0,0
0,39,4,1,0,1
0,30,4,1,0,2
0,34,4,1,0,3
0,27,4,1,0,4
0,56,4,1,0,5
0,7,4,1,0,6
0,5,4,1,0,7
0,48,4,2,1,0
0,45,4,2,1,1
0,16,4,2,1,2
0,21,4,2,1,3
0,20,4,2,1,4
0,17,4,2,1,5
0,5,4,2,1,6
0,2,4,2,1,7
0,3,4,2,0,0
0,3,4,2,0,1
0,3,4,2,0,2
0,3,4,2,0,3
0,2,4,2,0,4
0,4,4,2,0,5
0,1,4,2,0,6
0,0,4,2,0,7
0,352,4,0,1,0
0,305,4,0,1,1
0,221,4,0,1,2
0,170,4,0,1,3
0,118,4,0,1,4
0,168,4,0,1,5
0,39,4,0,1,6
0,21,4,0,1,7
0,3,4,0,0,0
0,7,4,0,0,1
0,5,4,0,0,2
0,14,4,0,0,3
0,10,4,0,0,4
0,13,4,0,0,5
0,5,4,0,0,6
0,3,4,0,0,7
0,0,4,4,1,0
0,11,4,4,1,1
0,18,4,4,1,2
0,15,4,4,1,3
0,24,4,4,1,4
0,29,4,4,1,5
0,14,4,4,1,6
0,8,4,4,1,7
0,0,4,4,0,0
0,3,4,4,0,1
0,1,4,4,0,2
0,3,4,4,0,3
0,1,4,4,0,4
0,6,4,4,0,5
0,4,4,4,0,6
0,2,4,4,0,7
0,70,4,3,1,0
0,118,4,3,1,1
0,65,4,3,1,2
0,53,4,3,1,3
0,43,4,3,1,4
0,75,4,3,1,5
0,11,4,3,1,6
0,1,4,3,1,7
0,6,4,3,0,0
0,1,4,3,0,1
0,3,4,3,0,2
0,1,4,3,0,3
0,3,4,3,0,4
0,3,4,3,0,5
0,1,4,3,0,6
0,0,4,3,0,7
0,479,1,1,1,0
0,491,1,1,1,1
0,303,1,1,1,2
0,196,1,1,1,3
0,115,1,1,1,4
0,114,1,1,1,5
0,14,1,1,1,6
0,3,1,1,1,7
0,7,1,1,0,0
0,16,1,1,0,1
0,13,1,1,0,2
0,13,1,1,0,3
0,15,1,1,0,4
0,13,1,1,0,5
0,2,1,1,0,6
0,1,1,1,0,7
0,5,1,2,1,0
0,14,1,2,1,1
0,6,1,2,1,2
0,4,1,2,1,3
0,2,1,2,1,4
0,4,1,2,1,5
0,2,1,2,1,6
0,0,1,2,1,7
0,0,1,2,0,0
0,0,1,2,0,1
0,1,1,2,0,2
0,0,1,2,0,3
0,2,1,2,0,4
0,0,1,2,0,5
0,0,1,2,0,6
0,0,1,2,0,7
0,102,1,0,1,0
0,87,1,0,1,1
0,54,1,0,1,2
0,43,1,0,1,3
0,36,1,0,1,4
0,35,1,0,1,5
0,5,1,0,1,6
0,1,1,0,1,7
0,0,1,0,0,0
0,0,1,0,0,1
0,3,1,0,0,2
0,3,1,0,0,3
0,1,1,0,0,4
0,4,1,0,0,5
0,2,1,0,0,6
0,0,1,0,0,7
0,0,1,4,1,0
0,1,1,4,1,1
0,3,1,4,1,2
0,0,1,4,1,3
0,8,1,4,1,4
0,8,1,4,1,5
0,1,1,4,1,6
0,1,1,4,1,7
0,0,1,4,0,0
0,1,1,4,0,1
0,1,1,4,0,2
0,2,1,4,0,3
0,2,1,4,0,4
0,1,1,4,0,5
0,0,1,4,0,6
0,1,1,4,0,7
0,54,1,3,1,0
0,79,1,3,1,1
0,52,1,3,1,2
0,29,1,3,1,3
0,30,1,3,1,4
0,21,1,3,1,5
0,3,1,3,1,6
0,0,1,3,1,7
0,0,1,3,0,0
0,3,1,3,0,1
0,1,1,3,0,2
0,1,1,3,0,3
0,1,1,3,0,4
0,2,1,3,0,5
0,0,1,3,0,6
0,0,1,3,0,7
1,3727,5,1,1,0
1,3102,5,1,1,1
1,2150,5,1,1,2
1,2051,5,1,1,3
