I alt;Grundskole;Kvinder;20-24 år;1080;1122;1188;1265;1218;1176;1217;1189;1184;1132;1325;1436;1679
I alt;Grundskole;Kvinder;25-29 år;720;795;829;871;891;914;983;895;904;830;994;1059;1286
I alt;Grundskole;Kvinder;30-34 år;790;818;836;802;746;764;796;793;733;732;814;821;1006
I alt;Grundskole;Kvinder;35-39 år;844;893;900;909;889;798;820;791;689;678;690;708;867
I alt;Grundskole;Kvinder;40-49 år;1712;1748;1705;1801;1748;1743;1844;1711;1568;1376;1368;1488;1637
I alt;Grundskole;Kvinder;50-59 år;1037;1059;1216;1292;1390;1363;1453;1402;1332;1217;1142;1238;1330
I alt;Grundskole;Kvinder;60 år og derover;974;1006;1135;1145;1087;1131;1219;1137;1200;1171;1160;1245;1308
I alt;Gymnasial uddannelse;I alt;I alt;8895;9626;9809;10932;11958;12772;13255;12876;13988;14033;14553;17225;17717
I alt;Gymnasial uddannelse;I alt;15-19 år;2022;2392;2487;2956;3488;3655;3725;3312;4292;4590;4701;4889;4035
I alt;Gymnasial uddannelse;I alt;20-24 år;1925;2140;2025;2459;2755;3106;3211;3149;3381;3544;3869;5311;5405
I alt;Gymnasial uddannelse;I alt;25-29 år;823;825;778;769;811;874;962;1022;972;1060;1237;1662;2133
I alt;Gymnasial uddannelse;I alt;30-34 år;827;866;798;718;747;779;780;754;755;722;771;939;1148
I alt;Gymnasial uddannelse;I alt;35-39 år;866;849;924;919;876;908;904;815;781;701;702;750;863
I alt;Gymnasial uddannelse;I alt;40-49 år;1575;1640;1686;1865;1924;1941;2009;2041;1838;1586;1487;1633;1823
I alt;Gymnasial uddannelse;I alt;50-59 år;618;643;803;881;976;1065;1195;1305;1365;1262;1240;1387;1545
I alt;Gymnasial uddannelse;I alt;60 år og derover;239;271;308;365;381;444;469;478;604;568;546;654;765
I alt;Gymnasial uddannelse;Mænd;I alt;6685;7253;7369;8313;9402;10019;10426;9970;11076;11290;11679;13724;13426
I alt;Gymnasial uddannelse;Mænd;15-19 år;1482;1849;1942;2340;2870;2987;3009;2639;3614;3960;4009;4055;3021
I alt;Gymnasial uddannelse;Mænd;20-24 år;1482;1608;1534;1928;2247;2511;2611;2468;2698;2822;3080;4239;4079
I alt;Gymnasial uddannelse;Mænd;25-29 år;644;647;572;597;655;682;784;838;793;881;1037;1384;1706
I alt;Gymnasial uddannelse;Mænd;30-34 år;611;658;597;540;571;598;614;583;582;573;612;753;901
I alt;Gymnasial uddannelse;Mænd;35-39 år;639;613;672;659;655;672;683;617;582;530;515;558;652
I alt;Gymnasial uddannelse;Mænd;40-49 år;1137;1147;1175;1287;1339;1398;1428;1440;1334;1145;1085;1206;1312
I alt;Gymnasial uddannelse;Mænd;50-59 år;509;501;638;671;754;830;926;1004;998;921;909;1006;1138
I alt;Gymnasial uddannelse;Mænd;60 år og derover;181;230;239;291;311;341;371;381;475;458;432;523;617
I alt;Gymnasial uddannelse;Kvinder;I alt;2210;2373;2440;2619;2556;2753;2829;2906;2912;2743;2874;3501;4291
I alt;Gymnasial uddannelse;Kvinder;15-19 år;540;543;545;616;618;668;716;673;678;630;692;834;1014
I alt;Gymnasial uddannelse;Kvinder;20-24 år;443;532;491;531;508;595;600;681;683;722;789;1072;1326
I alt;Gymnasial uddannelse;Kvinder;25-29 år;179;178;206;172;156;192;178;184;179;179;200;278;427
I alt;Gymnasial uddannelse;Kvinder;30-34 år;216;208;201;178;176;181;166;171;173;149;159;186;247
I alt;Gymnasial uddannelse;Kvinder;35-39 år;227;236;252;260;221;236;221;198;199;171;187;192;211
I alt;Gymnasial uddannelse;Kvinder;40-49 år;438;493;511;578;585;543;581;601;504;441;402;427;511
I alt;Gymnasial uddannelse;Kvinder;50-59 år;109;142;165;210;222;235;269;301;367;341;331;381;407
I alt;Gymnasial uddannelse;Kvinder;60 år og derover;58;41;69;74;70;103;98;97;129;110;114;131;148
I alt;Erhvervsuddannelse;I alt;I alt;48730;50534;53405;57055;58091;58123;58488;56286;52985;48734;46870;50993;57870
I alt;Erhvervsuddannelse;I alt;15-19 år;4061;4509;4368;4648;4706;4319;4063;3249;1932;1986;1985;2081;2082
I alt;Erhvervsuddannelse;I alt;20-24 år;6381;6347;6861;7808;8892;9235;8757;7966;6874;6437;5926;6251;6175
I alt;Erhvervsuddannelse;I alt;25-29 år;5439;5423;5103;5649;5843;5751;5886;6056;5875;5576;5800;6340;7269
I alt;Erhvervsuddannelse;I alt;30-34 år;5911;5814;5724;5695;5483;5278;5280;4995;4701;4374;4385;4972;6017
I alt;Erhvervsuddannelse;I alt;35-39 år;5788;6024;6377;6471;6329;5940;5963;5646;5168;4579;4231;4532;5252
I alt;Erhvervsuddannelse;I alt;40-49 år;11302;11907;12945;13631;13624;13223;13607;13156;12490;10795;9854;10529;12295
I alt;Erhvervsuddannelse;I alt;50-59 år;5942;6320;7152;7778;7983;8433;9140;9443;9962;9361;8946;9727;11387
I alt;Erhvervsuddannelse;I alt;60 år og derover;3906;4190;4875;5375;5231;5944;5792;5775;5983;5626;5743;6561;7393
I alt;Erhvervsuddannelse;Mænd;I alt;39575;41019;42800;46286;47296;46466;46940;45155;42178;38947;37815;41300;46425
I alt;Erhvervsuddannelse;Mænd;15-19 år;3725;4088;3871;4178;4255;3852;3643;2918;1764;1839;1865;1969;1942
I alt;Erhvervsuddannelse;Mænd;20-24 år;5596;5550;5943;6847;7794;8047;7556;6830;5848;5554;5190;5531;5395
I alt;Erhvervsuddannelse;Mænd;25-29 år;4513;4485;4234;4727;4909;4786;4944;5001;4802;4635;4828;5302;5970
I alt;Erhvervsuddannelse;Mænd;30-34 år;4691;4625;4508;4544;4386;4241;4184;3979;3755;3497;3535;4028;4797
I alt;Erhvervsuddannelse;Mænd;35-39 år;4499;4633;4852;5016;4926;4564;4624;4414;3986;3595;3341;3601;4118
I alt;Erhvervsuddannelse;Mænd;40-49 år;8705;9161;9806;10400;10539;9904;10346;9995;9495;8235;7604;8091;9473
I alt;Erhvervsuddannelse;Mænd;50-59 år;4748;5164;5785;6248;6379;6493;7089;7408;7804;7201;6924;7604;8894
I alt;Erhvervsuddannelse;Mænd;60 år og derover;3098;3313;3801;4326;4108;4579;4554;4610;4724;4391;4528;5174;5836
I alt;Erhvervsuddannelse;Kvinder;I alt;9155;9515;10605;10769;10795;11657;11548;11131;10807;9787;9055;9693;11445
I alt;Erhvervsuddannelse;Kvinder;15-19 år;336;421;497;470;451;467;420;331;168;147;120;112;140
I alt;Erhvervsuddannelse;Kvinder;20-24 år;785;797;918;961;1098;1188;1201;1136;1026;883;736;720;780
I alt;Erhvervsuddannelse;Kvinder;25-29 år;926;938;869;922;934;965;942;1055;1073;941;972;1038;1299
I alt;Erhvervsuddannelse;Kvinder;30-34 år;1220;1189;1216;1151;1097;1037;1096;1016;946;877;850;944;1220
I alt;Erhvervsuddannelse;Kvinder;35-39 år;1289;1391;1525;1455;1403;1376;1339;1232;1182;984;890;931;1134
I alt;Erhvervsuddannelse;Kvinder;40-49 år;2597;2746;3139;3231;3085;3319;3261;3161;2995;2560;2250;2438;2822
I alt;Erhvervsuddannelse;Kvinder;50-59 år;1194;1156;1367;1530;1604;1940;2051;2035;2158;2160;2022;2123;2493
I alt;Erhvervsuddannelse;Kvinder;60 år og derover;808;877;1074;1049;1123;1365;1238;1165;1259;1235;1215;1387;1557
I alt;Videregående uddannelse;I alt;I alt;22621;23969;25958;28014;28460;31369;32179;33061;32224;29837;27579;29551;33929
I alt;Videregående uddannelse;I alt;15-19 år;26;31;46;34;56;63;64;41;42;38;51;22;24
I alt;Videregående uddannelse;I alt;20-24 år;1174;1277;1389;1732;2215;2440;2475;2335;2234;2062;2127;1534;1739
I alt;Videregående uddannelse;I alt;25-29 år;2120;2167;1973;2275;2410;2696;2937;3045;3046;2973;3025;3076;3664
I alt;Videregående uddannelse;I alt;30-34 år;2938;2907;2998;2986;2894;3079;2995;3066;2998;2825;2667;3125;3889
I alt;Videregående uddannelse;I alt;35-39 år;3504;3570;3943;3854;3853;4045;3911;3951;3574;3262;2813;3119;3546
I alt;Videregående uddannelse;I alt;40-49 år;6577;7035;7681;8277;8326;9029;9467;9743;9199;8024;7032;7668;8628
I alt;Videregående uddannelse;I alt;50-59 år;3907;4232;4814;5279;5158;5835;6284;6538;6706;6365;5762;6312;7160
I alt;Videregående uddannelse;I alt;60 år og derover;2375;2750;3114;3577;3548;4182;4046;4342;4425;4288;4102;4695;5279
I alt;Videregående uddannelse;Mænd;I alt;14736;15390;16539;18042;18577;20134;20757;21184;20636;18966;17901;18823;21095
I alt;Videregående uddannelse;Mænd;15-19 år;22;21;33;21;44;43;42;30;32;30;41;11;17
I alt;Videregående uddannelse;Mænd;20-24 år;747;821;914;1226;1683;1755;1839;1615;1531;1443;1499;950;958
I alt;Videregående uddannelse;Mænd;25-29 år;1388;1356;1253;1504;1669;1870;2060;2036;2069;1926;2040;1997;2215
I alt;Videregående uddannelse;Mænd;30-34 år;1867;1830;1844;1809;1810;1859;1929;1977;1889;1779;1727;2006;2355
I alt;Videregående uddannelse;Mænd;35-39 år;2195;2206;2339;2366;2341;2387;2348;2372;2135;1959;1703;1955;2199
I alt;Videregående uddannelse;Mænd;40-49 år;4205;4449;4825;5202;5162;5531;5821;6005;5684;4883;4368;4645;5185
I alt;Videregående uddannelse;Mænd;50-59 år;2614;2713;3101;3388;3361;3699;4007;4178;4333;4044;3735;4095;4628
I alt;Videregående uddannelse;Mænd;60 år og derover;1698;1994;2230;2526;2507;2990;2711;2971;2963;2902;2788;3164;3538
I alt;Videregående uddannelse;Kvinder;I alt;7885;8579;9419;9972;9883;11235;11422;11877;11588;10871;9678;10728;12834
I alt;Videregående uddannelse;Kvinder;15-19 år;4;10;13;13;12;20;22;11;10;8;10;11;7
I alt;Videregående uddannelse;Kvinder;20-24 år;427;456;475;506;532;685;636;720;703;619;628;584;781
I alt;Videregående uddannelse;Kvinder;25-29 år;732;811;720;771;741;826;877;1009;977;1047;985;1079;1449
I alt;Videregående uddannelse;Kvinder;30-34 år;1071;1077;1154;1177;1084;1220;1066;1089;1109;1046;940;1119;1534
I alt;Videregående uddannelse;Kvinder;35-39 år;1309;1364;1604;1488;1512;1658;1563;1579;1439;1303;1110;1164;1347
I alt;Videregående uddannelse;Kvinder;40-49 år;2372;2586;2856;3075;3164;3498;3646;3738;3515;3141;2664;3023;3443
I alt;Videregående uddannelse;Kvinder;50-59 år;1293;1519;1713;1891;1797;2136;2277;2360;2373;2321;2027;2217;2532
I alt;Videregående uddannelse;Kvinder;60 år og derover;677;756;884;1051;1041;1192;1335;1371;1462;1386;1314;1531;1741
I alt;Uoplyst uddannelse;I alt;I alt;5755;6571;7026;7453;7940;6941;7225;7264;7222;7251;8129;9557;11172
I alt;Uoplyst uddannelse;I alt;15-19 år;363;319;225;201;156;113;108;98;131;125;144;118;79
I alt;Uoplyst uddannelse;I alt;20-24 år;895;1071;950;983;970;738;723;616;599;620;651;795;835
I alt;Uoplyst uddannelse;I alt;25-29 år;880;1135;1282;1334;1481;1228;1234;1221;1166;1223;1419;1707;1944
I alt;Uoplyst uddannelse;I alt;30-34 år;741;864;959;1131;1249;1031;1152;1168;1193;1267;1535;1762;2137
I alt;Uoplyst uddannelse;I alt;35-39 år;698;784;878;919;991;856;874;904;932;937;1119;1416;1633
I alt;Uoplyst uddannelse;I alt;40-49 år;1242;1293;1482;1596;1661;1504;1525;1656;1575;1501;1624;1918;2310
I alt;Uoplyst uddannelse;I alt;50-59 år;577;717;819;863;1016;1032;1144;1144;1194;1098;1078;1198;1493
I alt;Uoplyst uddannelse;I alt;60 år og derover;359;388;431;426;416;439;465;457;432;480;559;643;741
I alt;Uoplyst uddannelse;Mænd;I alt;4996;5649;6064;6367;6797;5934;6141;6133;6097;6108;6822;7938;9227
I alt;Uoplyst uddannelse;Mænd;15-19 år;313;279;196;179;129;97;86;84;113;101;121;99;69
I alt;Uoplyst uddannelse;Mænd;20-24 år;799;916;830;837;825;637;596;515;508;535;563;691;717
I alt;Uoplyst uddannelse;Mænd;25-29 år;764;999;1121;1166;1293;1054;1061;1040;994;1024;1159;1370;1539
I alt;Uoplyst uddannelse;Mænd;30-34 år;647;756;822;978;1062;890;986;994;1012;1074;1278;1480;1787
I alt;Uoplyst uddannelse;Mænd;35-39 år;603;672;759;775;832;740;760;775;787;788;950;1190;1335
I alt;Uoplyst uddannelse;Mænd;40-49 år;1084;1120;1283;1376;1439;1291;1292;1393;1344;1253;1374;1587;1914
I alt;Uoplyst uddannelse;Mænd;50-59 år;490;597;697;721;878;878;982;974;986;951;926;1012;1254
I alt;Uoplyst uddannelse;Mænd;60 år og derover;296;310;356;335;339;347;378;358;353;382;451;509;612
I alt;Uoplyst uddannelse;Kvinder;I alt;759;922;962;1086;1143;1007;1084;1131;1125;1143;1307;1619;1945
I alt;Uoplyst uddannelse;Kvinder;15-19 år;50;40;29;22;27;16;22;14;18;24;23;19;10
