"106";"10";"M";"1519";3502;3727;3137;3147;3000;2599;2657;2162;2506;2401;2584;3217;3380
"106";"10";"M";"2024";2908;3102;2848;2761;2662;2614;2609;2530;2396;2376;2599;2686;2766
"106";"10";"M";"2529";2126;2150;2110;2051;2204;2132;2477;2285;2167;1968;2180;2213;2538
"106";"10";"M";"3034";1996;2051;1929;1932;2032;1808;1969;1992;1836;1728;1838;1990;2393
"106";"10";"M";"3539";2185;2153;2082;2194;2038;1946;2024;1934;1756;1559;1623;1790;2008
"106";"10";"M";"4049";4224;4281;4396;4619;4614;4208;4490;4318;4020;3481;3396;3552;4024
"106";"10";"M";"5059";2580;2613;2869;3172;3319;3370;3412;3414;3451;3181;3004;3295;3702
"106";"10";"M";"6099";2159;2333;2517;2715;2532;2602;2600;2569;2656;2376;2348;2740;3023
"106";"10";"K";"1519";1155;1260;1211;1109;1064;950;996;856;790;677;702;858;956
"106";"10";"K";"2024";805;799;809;896;789;760;803;759;750;712;801;855;1030
"106";"10";"K";"2529";519;586;577;578;590;612;656;575;585;527;622;654;780
"106";"10";"K";"3034";583;569;585;568;500;513;573;540;498;466;532;510;664
"106";"10";"K";"3539";637;651;618;648;617;557;564;565;486;481;478;445;551
"106";"10";"K";"4049";1326;1353;1292;1358;1304;1270;1387;1271;1184;1001;977;1044;1173
"106";"10";"K";"5059";914;933;1039;1052;1144;1122;1196;1150;1108;990;897;959;1047
"106";"10";"K";"6099";879;889;1015;1031;972;1016;1088;1018;1075;1069;1027;1119;1149
"106";"20";"M";"1519";1102;1357;1391;1623;1912;2044;2063;1801;2559;2776;2729;2831;2026
"106";"20";"M";"2024";1129;1193;1082;1344;1555;1798;1891;1767;1983;1977;2157;3047;2815
"106";"20";"M";"2529";465;440;386;400;459;453;535;585;555;598;641;891;1137
"106";"20";"M";"3034";426;483;424;365;367;414;404;408;417;382;414;493;561
"106";"20";"M";"3539";445;439;487;468;466;447;476;449;426;374;355;379;422
"106";"20";"M";"4049";886;880;858;938;959;988;1029;1076;988;828;790;836;919
"106";"20";"M";"5059";412;415;490;527;580;630;682;761;752;708;682;759;821
"106";"20";"M";"6099";151;193;193;238;261;280;309;316;402;371;357;421;496
"106";"20";"K";"1519";491;503;507;558;533;597;627;599;614;558;592;709;857
"106";"20";"K";"2024";393;475;416;476;435;519;510;603;592;637;678;900;1086
"106";"20";"K";"2529";153;152;173;126;121;146;133;138;148;153;151;217;333
"106";"20";"K";"3034";185;165;166;147;139;151;132;145;139;119;120;147;199
"106";"20";"K";"3539";189;199;204;226;179;193;176;168;160;129;148;158;175
"106";"20";"K";"4049";380;423;449;494;497;442;498;494;416;369;341;337;403
"106";"20";"K";"5059";93;122;138;183;197;209;235;253;327;300;289;321;339
"106";"20";"K";"6099";57;39;66;65;67;90;88;86;118;98;102;118;126
"106";"35";"M";"1519";2011;2265;1924;2013;1959;1809;1821;1484;965;1035;970;1056;1023
"106";"35";"M";"2024";3506;3502;3458;3776;4243;4612;4398;4054;3479;3373;3044;3224;3160
"106";"35";"M";"2529";3094;3065;2751;3070;3119;3091;3211;3249;3112;3064;3024;3244;3733
"106";"35";"M";"3034";3313;3277;3101;3094;2943;2813;2872;2734;2602;2389;2315;2569;3130
"106";"35";"M";"3539";3300;3389;3425;3571;3506;3251;3237;3113;2810;2532;2301;2446;2771
"106";"35";"M";"4049";6700;6988;7294;7710;7778;7298;7615;7427;7028;6142;5491;5627;6759
"106";"35";"M";"5059";3947;4182;4678;5017;5090;5155;5548;5777;6115;5685;5257;5748;6814
"106";"35";"M";"6099";2737;2914;3295;3718;3516;3997;3905;4008;4060;3790;3842;4384;4951
"106";"35";"K";"1519";274;352;397;382;353;338;331;252;132;114;91;85;105
"106";"35";"K";"2024";682;693;757;778;884;923;934;924;830;723;568;546;585
"106";"35";"K";"2529";805;829;721;768;766;802;776;860;881;755;769;781;982
"106";"35";"K";"3034";1065;1048;1030;983;933;849;931;852;784;734;683;762;942
"106";"35";"K";"3539";1108;1220;1310;1269;1186;1184;1131;1040;1023;813;724;755;921
"106";"35";"K";"4049";2279;2403;2754;2806;2655;2886;2783;2721;2606;2203;1911;2040;2379
"106";"35";"K";"5059";1090;1033;1217;1349;1418;1717;1774;1795;1906;1895;1744;1873;2170
"106";"35";"K";"6099";755;794;994;952;1020;1261;1130;1071;1162;1139;1105;1268;1424
"106";"40";"M";"1519";19;18;27;17;35;27;28;24;23;21;33;7;11
"106";"40";"M";"2024";596;681;714;947;1280;1339;1386;1246;1173;1101;1094;716;710
"106";"40";"M";"2529";1130;1122;994;1203;1330;1439;1625;1632;1644;1502;1545;1533;1701
"106";"40";"M";"3034";1571;1496;1542;1465;1443;1495;1532;1607;1537;1394;1350;1558;1818
"106";"40";"M";"3539";1809;1838;1938;1943;1906;1953;1904;1966;1758;1625;1336;1546;1713
"106";"40";"M";"4049";3403;3622;3839;4236;4087;4378;4614;4853;4667;3992;3532;3682;4104
