0;106;5;M;2529;377;363;381;383;451;533;549;529;480;449;452;498
0;106;5;M;3034;275;276;262;273;269;354;322;323;296;286;282;341
0;106;5;M;3539;218;203;185;185;218;264;258;259;234;230;206;214
0;106;5;M;4049;285;252;255;274;300;340;393;321;299;293;322;340
0;106;5;M;5059;107;80;61;105;120;155;186;139;206;174;190;174
0;106;5;M;6099;37;33;33;31;28;39;60;49;45;48;50;65
0;106;5;K;2024;10;18;14;15;18;29;34;33;35;43;29;37
0;106;5;K;2529;17;13;20;20;25;36;41;29;22;35;44;30
0;106;5;K;3034;15;10;15;15;15;21;22;20;17;30;28;28
0;106;5;K;3539;17;11;21;15;26;18;16;19;18;18;14;25
0;106;5;K;4049;38;43;29;33;37;44;37;40;44;36;21;36
0;106;5;K;5059;16;10;13;11;13;15;25;28;27;14;24;28
0;106;5;K;6099;11;2;7;8;8;9;10;7;6;13;12;11
0;106;10;M;2024;43;30;31;40;57;99;114;100;84;84;78;86
0;106;10;M;2529;23;26;29;32;63;87;104;99;95;70;82;83
0;106;10;M;3034;26;17;9;13;23;44;54;47;46;39;57;47
0;106;10;M;3539;16;20;8;18;30;24;37;24;31;26;24;25
0;106;10;M;4049;19;25;17;19;29;30;38;40;27;21;22;37
0;106;10;M;5059;5;6;2;2;3;9;16;12;10;16;14;17
0;106;10;M;6099;4;0;1;2;1;2;0;1;5;7;3;5
0;106;10;K;2024;1;0;2;0;1;3;5;5;6;2;4;1
0;106;10;K;2529;1;0;3;2;3;1;3;2;4;5;3;8
0;106;10;K;3034;0;1;0;0;2;3;2;4;5;3;6;2
0;106;10;K;3539;1;1;1;0;0;3;4;0;4;2;2;4
0;106;10;K;4049;1;1;3;2;3;5;4;5;4;1;3;6
0;106;10;K;5059;4;1;1;1;0;1;1;1;0;1;1;4
0;106;10;K;6099;0;0;3;0;0;0;0;0;2;1;2;0
0;107;0;M;2024;0;0;0;0;0;0;0;0;0;0;0;0
0;107;0;M;2529;0;0;0;0;0;0;0;0;0;0;0;0
0;107;0;M;3034;0;0;0;0;0;0;0;0;0;0;0;0
0;107;0;M;3539;0;0;0;0;0;0;0;0;0;0;0;0
0;107;0;M;4049;0;0;0;0;0;0;0;0;0;0;0;0
0;107;0;M;5059;0;0;0;0;0;0;0;0;0;0;0;0
0;107;0;M;6099;0;0;0;0;0;0;0;0;0;0;0;0
0;107;0;K;2024;0;0;0;0;0;0;0;0;0;0;0;0
0;107;0;K;2529;0;0;0;0;0;0;0;0;0;0;0;0
0;107;0;K;3034;0;0;0;0;0;0;0;0;0;0;0;0
0;107;0;K;3539;0;0;0;0;0;0;0;0;0;0;0;0
0;107;0;K;4049;0;0;0;0;0;0;0;0;0;0;0;0
0;107;0;K;5059;0;0;0;0;0;0;0;0;0;0;0;0
0;107;0;K;6099;0;0;0;0;0;0;0;0;0;0;0;0
0;107;1;M;2024;0;0;0;0;0;0;0;0;0;0;0;0
0;107;1;M;2529;0;0;0;0;0;0;0;0;0;0;0;0
0;107;1;M;3034;0;0;0;0;0;0;0;0;0;0;0;0
0;107;1;M;3539;0;0;0;0;0;0;0;0;0;0;0;0
0;107;1;M;4049;0;0;0;0;0;0;0;0;0;0;0;0
0;107;1;M;5059;0;0;0;0;0;0;0;0;0;0;0;0
0;107;1;M;6099;0;0;0;0;0;0;0;0;0;0;0;0
0;107;1;K;2024;0;0;0;0;0;0;0;0;0;0;0;0
0;107;1;K;2529;0;0;0;0;0;0;0;0;0;0;0;0
0;107;1;K;3034;0;0;0;0;0;0;0;0;0;0;0;0
0;107;1;K;3539;0;0;0;0;0;0;0;0;0;0;0;0
0;107;1;K;4049;0;0;0;0;0;0;0;0;0;0;0;0
0;107;1;K;5059;0;0;0;0;0;0;0;0;0;0;0;0
0;107;1;K;6099;0;0;0;0;0;0;0;0;0;0;0;0
0;107;2;M;2024;0;0;0;0;0;0;0;0;0;0;0;0
0;107;2;M;2529;0;0;0;0;0;0;0;0;0;0;0;0
0;107;2;M;3034;0;0;0;0;0;0;0;0;0;0;0;0
0;107;2;M;3539;0;0;0;0;0;0;0;0;0;0;0;0
0;107;2;M;4049;0;0;0;0;0;0;0;0;0;0;0;0
0;107;2;M;5059;0;0;0;0;0;0;0;0;0;0;0;0
0;107;2;M;6099;0;0;0;0;0;0;0;0;0;0;0;0
0;107;2;K;2024;0;0;0;0;0;0;0;0;0;0;0;0
0;107;2;K;2529;0;0;0;0;0;0;0;0;0;0;0;0
0;107;2;K;3034;0;0;0;0;0;0;0;0;0;0;0;0
0;107;2;K;3539;0;0;0;0;0;0;0;0;0;0;0;0
0;107;2;K;4049;0;0;0;0;0;0;0;0;0;0;0;0
0;107;2;K;5059;0;0;0;0;0;0;0;0;0;0;0;0
0;107;2;K;6099;0;0;0;0;0;0;0;0;0;0;0;0
0;107;3;M;2024;0;0;0;0;0;0;0;0;0;0;0;0
0;107;3;M;2529;0;0;0;0;0;0;0;0;0;0;0;0
0;107;3;M;3034;0;0;0;0;0;0;0;0;0;0;0;0
0;107;3;M;3539;0;0;0;0;0;0;0;0;0;0;0;0
0;107;3;M;4049;0;0;0;0;0;0;0;0;0;0;0;0
0;107;3;M;5059;0;0;0;0;0;0;0;0;0;0;0;0
0;107;3;M;6099;0;0;0;0;0;0;0;0;0;0;0;0
0;107;3;K;2024;0;0;0;0;0;0;0;0;0;0;0;0
0;107;3;K;2529;0;0;0;0;0;0;0;0;0;0;0;0
0;107;3;K;3034;0;0;0;0;0;0;0;0;0;0;0;0
0;107;3;K;3539;0;0;0;0;0;0;0;0;0;0;0;0
0;107;3;K;4049;0;0;0;0;0;0;0;0;0;0;0;0
0;107;3;K;5059;0;0;0;0;0;0;0;0;0;0;0;0
0;107;3;K;6099;0;0;0;0;0;0;0;0;0;0;0;0
0;107;4;M;2024;0;0;0;0;0;0;0;0;0;0;0;0
0;107;4;M;2529;0;0;0;0;0;0;0;0;0;0;0;0
0;107;4;M;3034;0;0;0;0;0;0;0;0;0;0;0;0
0;107;4;M;3539;0;0;0;0;0;0;0;0;0;0;0;0
0;107;4;M;4049;0;0;0;0;0;0;0;0;0;0;0;0
0;107;4;M;5059;0;0;0;0;0;0;0;0;0;0;0;0
0;107;4;M;6099;0;0;0;0;0;0;0;0;0;0;0;0
0;107;4;K;2024;0;0;0;0;0;0;0;0;0;0;0;0
0;107;4;K;2529;0;0;0;0;0;0;0;0;0;0;0;0
0;107;4;K;3034;0;0;0;0;0;0;0;0;0;0;0;0
0;107;4;K;3539;0;0;0;0;0;0;0;0;0;0;0;0
0;107;4;K;4049;0;0;0;0;0;0;0;0;0;0;0;0
0;107;4;K;5059;0;0;0;0;0;0;0;0;0;0;0;0
0;107;4;K;6099;0;0;0;0;0;0;0;0;0;0;0;0
0;107;5;M;2024;0;0;0;0;0;0;0;0;0;0;0;0
0;107;5;M;2529;0;0;0;0;0;0;0;0;0;0;0;0
0;107;5;M;3034;0;0;0;0;0;0;0;0;0;0;0;0
0;107;5;M;3539;0;0;0;0;0;0;0;0;0;0;0;0
0;107;5;M;4049;0;0;0;0;0;0;0;0;0;0;0;0
